COG,KO,COG2,COG3,COG4,func,name
COG0562,K01854,,,NA,M,UDP-galactopyranose mutase
COG0562,K20678,,,NA,M,UDP-galactopyranose mutase
COG0563,K13800,,,NA,F,Adenylate kinase or related kinase
COG0563,K00939,,,NA,F,Adenylate kinase or related kinase
COG0564,K06177,,,NA,J,Pseudouridylate synthase, 23S rRNA- or tRNA-specific
COG0564,K06179,,,NA,J,Pseudouridylate synthase, 23S rRNA- or tRNA-specific
COG0564,K15265,,,NA,J,Pseudouridylate synthase, 23S rRNA- or tRNA-specific
COG0564,K06175,,,NA,J,Pseudouridylate synthase, 23S rRNA- or tRNA-specific
COG0564,K15453,,,NA,J,Pseudouridylate synthase, 23S rRNA- or tRNA-specific
COG0564,K06180,,,NA,J,Pseudouridylate synthase, 23S rRNA- or tRNA-specific
COG0564,K15454,,,NA,J,Pseudouridylate synthase, 23S rRNA- or tRNA-specific
COG0565,K15396,,,NA,J,tRNA C32,U32 (ribose-2'-O)-methylase TrmJ or a related methyltransferase
COG0565,K02533,,,NA,J,tRNA C32,U32 (ribose-2'-O)-methylase TrmJ or a related methyltransferase
COG0566,K03437,,,NA,J,tRNA G18 (ribose-2'-O)-methylase SpoU
COG0566,K15507,,,NA,J,tRNA G18 (ribose-2'-O)-methylase SpoU
COG0566,K21514,,,NA,J,tRNA G18 (ribose-2'-O)-methylase SpoU
COG0566,K03214,,,NA,J,tRNA G18 (ribose-2'-O)-methylase SpoU
COG0566,K00556,,,NA,J,tRNA G18 (ribose-2'-O)-methylase SpoU
COG0566,K15333,,,NA,J,tRNA G18 (ribose-2'-O)-methylase SpoU
COG0566,K03218,,,NA,J,tRNA G18 (ribose-2'-O)-methylase SpoU
COG0567,K00164,,,NA,C,2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes
COG0567,K01616,,,NA,C,2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes
COG0568,K03089,,,NA,K,DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)
COG0568,K03087,,,NA,K,DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)
COG0568,K03086,,,NA,K,DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)
COG0569,K03499,,,NA,P,Trk K+ transport system, NAD-binding component
COG0571,K03685,,,NA,K,dsRNA-specific ribonuclease
COG0572,K00855,,,NA,F,Uridine kinase
COG0572,K10524,,,NA,F,Uridine kinase
COG0572,K00876,,,NA,F,Uridine kinase
COG0573,K02037,,,NA,P,ABC-type phosphate transport system, permease component
COG0574,K01006,,,NA,G,Phosphoenolpyruvate synthase/pyruvate phosphate dikinase
COG0574,K21787,,,NA,G,Phosphoenolpyruvate synthase/pyruvate phosphate dikinase
COG0574,K01007,,,NA,G,Phosphoenolpyruvate synthase/pyruvate phosphate dikinase
COG0574,K22579,,,NA,G,Phosphoenolpyruvate synthase/pyruvate phosphate dikinase
COG0574,K22424,,,NA,G,Phosphoenolpyruvate synthase/pyruvate phosphate dikinase
COG0575,K00981,,,NA,I,CDP-diglyceride synthetase
COG0575,K19664,,,NA,I,CDP-diglyceride synthetase
COG0576,K03687,,,NA,O,Molecular chaperone GrpE (heat shock protein)
COG0577,K19084,,,NA,V,ABC-type antimicrobial peptide transport system, permease component
COG0577,K19080,,,NA,V,ABC-type antimicrobial peptide transport system, permease component
COG0577,K11636,,,NA,V,ABC-type antimicrobial peptide transport system, permease component
COG0577,K16918,,,NA,V,ABC-type antimicrobial peptide transport system, permease component
COG0577,K09813,,,NA,V,ABC-type antimicrobial peptide transport system, permease component
COG0577,K11632,,,NA,V,ABC-type antimicrobial peptide transport system, permease component
COG0578,K21054,,,NA,C,Glycerol-3-phosphate dehydrogenase
COG0578,K00111,,,NA,C,Glycerol-3-phosphate dehydrogenase
COG0578,K00105,,,NA,C,Glycerol-3-phosphate dehydrogenase
COG0579,K00116,,,NA,G,L-2-hydroxyglutarate oxidase LhgO
COG0579,K15736,,,NA,G,L-2-hydroxyglutarate oxidase LhgO
COG0580,K02440,,,NA,G,Glycerol uptake facilitator and related aquaporins (Major Intrinsic Protein Family)
COG0580,K06188,,,NA,G,Glycerol uptake facilitator and related aquaporins (Major Intrinsic Protein Family)
COG0581,K02038,,,NA,P,ABC-type phosphate transport system, permease component
COG0582,K14059,,,NA,LX,Integrase
COG0582,K07358,,,NA,LX,Integrase
COG0582,K03733,,,NA,LX,Integrase
COG0582,K04763,,,NA,LX,Integrase
COG0582,K07357,,,NA,LX,Integrase
COG0583,K19555,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K03717,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K18297,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K21960,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K04761,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K13794,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K18900,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K17737,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K21703,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K10918,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K16516,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K16135,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K13928,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K21959,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K02623,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K21711,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K10972,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K21900,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K07592,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K21757,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K19735,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K02521,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K18927,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K21699,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K22711,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K11921,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K13634,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K21755,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K21698,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K21742,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K09681,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K14057,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K21645,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K19242,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K19624,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K13635,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K19338,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K21756,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K13636,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K05817,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K05596,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K05798,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K17850,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K14657,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K03576,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K19618,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0583,K03566,,,NA,K,DNA-binding transcriptional regulator, LysR family
COG0584,K18694,,,NA,I,Glycerophosphoryl diester phosphodiesterase
COG0584,K01126,,,NA,I,Glycerophosphoryl diester phosphodiesterase
COG0585,K06176,,,NA,J,tRNA(Glu) U13 pseudouridine synthase TruD
COG0586,K03975,,,NA,S,Uncharacterized membrane protein DedA, SNARE-associated domain
COG0587,K14162,,,NA,L,DNA polymerase III, alpha subunit
COG0587,K02337,,,NA,L,DNA polymerase III, alpha subunit
COG0588,K01834,,,NA,G,Phosphoglycerate mutase (BPG-dependent)
COG0589,K14061,,,NA,T,Nucleotide-binding universal stress protein,  UspA family
COG0589,K14055,,,NA,T,Nucleotide-binding universal stress protein,  UspA family
COG0589,K11932,,,NA,T,Nucleotide-binding universal stress protein,  UspA family
COG0589,K06149,,,NA,T,Nucleotide-binding universal stress protein,  UspA family
COG0589,K14065,,,NA,T,Nucleotide-binding universal stress protein,  UspA family
COG0589,K14064,,,NA,T,Nucleotide-binding universal stress protein,  UspA family
COG0590,K11991,,,NA,J,tRNA(Arg) A34 adenosine deaminase TadA
COG0590,K03365,,,NA,J,tRNA(Arg) A34 adenosine deaminase TadA
COG0591,K20989,,,NA,E,Na+/proline symporter
COG0591,K11928,,,NA,E,Na+/proline symporter
COG0592,K02338,,,NA,L,DNA polymerase III sliding clamp (beta) subunit, PCNA homolog
COG0592,K04802,,,NA,L,DNA polymerase III sliding clamp (beta) subunit, PCNA homolog
COG0593,K10763,,,NA,L,Chromosomal replication initiation ATPase DnaA
COG0593,K02313,,,NA,L,Chromosomal replication initiation ATPase DnaA
COG0594,K03536,,,NA,J,RNase P protein component
COG0595,K07021,,,NA,J,mRNA degradation ribonuclease J1/J2
COG0595,K12574,,,NA,J,mRNA degradation ribonuclease J1/J2
COG0596,K22318,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K21193,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K18457,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K00433,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K10702,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K21209,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K22677,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K19707,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K22250,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K02170,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K10216,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K08680,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K18100,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K09023,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K01253,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K01055,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K01175,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K20992,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K16050,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K22717,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K05714,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K01563,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K18614,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K21159,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K18092,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K19311,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K15357,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K21821,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K13535,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K01561,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0596,K01259,,,NA,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0597,K03101,,,NA,MU,Lipoprotein signal peptidase
COG0598,K16073,,,NA,P,Mg2+ and Co2+ transporter CorA
COG0598,K03284,,,NA,P,Mg2+ and Co2+ transporter CorA
COG0598,K16074,,,NA,P,Mg2+ and Co2+ transporter CorA
COG0599,K01607,,,NA,R,Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family
COG0600,K15552,,,NA,P,ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
COG0600,K15577,,,NA,P,ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
COG0600,K02050,,,NA,P,ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
COG0600,K11951,,,NA,P,ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
COG0600,K15599,,,NA,P,ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
COG0600,K15554,,,NA,P,ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
COG0601,K12369,,,NA,EP,ABC-type dipeptide/oligopeptide/nickel transport system, permease component
COG0601,K02033,,,NA,EP,ABC-type dipeptide/oligopeptide/nickel transport system, permease component
COG0601,K19227,,,NA,EP,ABC-type dipeptide/oligopeptide/nickel transport system, permease component
COG0601,K15585,,,NA,EP,ABC-type dipeptide/oligopeptide/nickel transport system, permease component
COG0601,K13890,,,NA,EP,ABC-type dipeptide/oligopeptide/nickel transport system, permease component
COG0601,K16200,,,NA,EP,ABC-type dipeptide/oligopeptide/nickel transport system, permease component
COG0601,K15581,,,NA,EP,ABC-type dipeptide/oligopeptide/nickel transport system, permease component
COG0602,K10026,,,NA,R,Organic radical activating enzyme
COG0602,K04068,,,NA,R,Organic radical activating enzyme
COG0603,K06920,,,NA,J,7-cyano-7-deazaguanine synthase (queuosine biosynthesis)
COG0604,K13955,,,NA,CR,NADPH:quinone reductase or related Zn-dependent oxidoreductase
COG0604,K00344,,,NA,CR,NADPH:quinone reductase or related Zn-dependent oxidoreductase
COG0604,K21839,,,NA,CR,NADPH:quinone reductase or related Zn-dependent oxidoreductase
COG0604,K20982,,,NA,CR,NADPH:quinone reductase or related Zn-dependent oxidoreductase
COG0604,K18536,,,NA,CR,NADPH:quinone reductase or related Zn-dependent oxidoreductase
COG0604,K00001,COG1062,COG1064 COG1454,NA,CR,NADPH:quinone reductase or related Zn-dependent oxidoreductase
COG0604,K14446,,,NA,CR,NADPH:quinone reductase or related Zn-dependent oxidoreductase
COG0604,K19745,,,NA,CR,NADPH:quinone reductase or related Zn-dependent oxidoreductase
COG0605,K04564,,,NA,P,Superoxide dismutase
COG0606,K07391,,,NA,O,Predicted ATPase with chaperone activity
COG0607,K02439,,,NA,P,Rhodanese-related sulfurtransferase
COG0607,K03972,,,NA,P,Rhodanese-related sulfurtransferase
COG0608,K07462,,,NA,L,Single-stranded DNA-specific exonuclease, DHH superfamily, may be involved in archaeal DNA replication intiation
COG0609,K02015,,,NA,P,ABC-type Fe3+-siderophore transport system, permease component
COG0610,K01153,,,NA,V,Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ...
COG0611,K00946,,,NA,H,Thiamine monophosphate kinase
COG0612,K07263,,,NA,R,Predicted Zn-dependent peptidase
COG0613,K07053,,,NA,R,Predicted metal-dependent phosphoesterase TrpH, contains PHP domain
COG0613,K20859,,,NA,R,Predicted metal-dependent phosphoesterase TrpH, contains PHP domain
COG0614,K02016,,,NA,P,ABC-type Fe3+-hydroxamate transport system, periplasmic component
COG0614,K06858,,,NA,P,ABC-type Fe3+-hydroxamate transport system, periplasmic component
COG0615,K00968,,,NA,M,Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family
COG0615,K00980,,,NA,M,Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family
COG0615,K00967,,,NA,M,Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family
COG0615,K14656,,,NA,M,Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family
COG0616,K04774,,,NA,O,Periplasmic serine protease, ClpP class
COG0616,K04773,,,NA,O,Periplasmic serine protease, ClpP class
COG0617,K00974,,,NA,J,tRNA nucleotidyltransferase/poly(A) polymerase
COG0617,K00970,,,NA,J,tRNA nucleotidyltransferase/poly(A) polymerase
COG0618,K06881,,,NA,F,nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs
COG0619,K16785,,,NA,H,Energy-coupling factor transporter transmembrane protein EcfT
COG0619,K02008,,,NA,H,Energy-coupling factor transporter transmembrane protein EcfT
COG0619,K16783,,,NA,H,Energy-coupling factor transporter transmembrane protein EcfT
COG0620,K22363,,,NA,E,Methionine synthase II (cobalamin-independent)
COG0620,K00549,,,NA,E,Methionine synthase II (cobalamin-independent)
COG0621,K18707,,,NA,J,tRNA A37 methylthiotransferase MiaB
COG0621,K14441,,,NA,J,tRNA A37 methylthiotransferase MiaB
COG0621,K06168,,,NA,J,tRNA A37 methylthiotransferase MiaB
COG0622,K07095,,,NA,R,Predicted phosphodiesterase
COG0622,K18467,,,NA,R,Predicted phosphodiesterase
COG0623,K11611,,,NA,I,Enoyl-[acyl-carrier-protein] reductase (NADH)
COG0623,K00208,,,NA,I,Enoyl-[acyl-carrier-protein] reductase (NADH)
COG0624,K05831,,,NA,E,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
COG0624,K01293,,,NA,E,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
COG0624,K15428,,,NA,E,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
COG0624,K01438,,,NA,E,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
COG0624,K02083,,,NA,E,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
COG0624,K01439,,,NA,E,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
COG0624,K06016,,,NA,E,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
COG0624,K20895,,,NA,E,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
COG0624,K01295,,,NA,E,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
COG0625,K21106,,,NA,O,Glutathione S-transferase
COG0625,K00799,,,NA,O,Glutathione S-transferase
COG0625,K15241,,,NA,O,Glutathione S-transferase
COG0625,K11209,,,NA,O,Glutathione S-transferase
COG0625,K03599,,,NA,O,Glutathione S-transferase
COG0625,K22742,,,NA,O,Glutathione S-transferase
COG0625,K01800,,,NA,O,Glutathione S-transferase
COG0625,K01801,,,NA,O,Glutathione S-transferase
COG0625,K11208,,,NA,O,Glutathione S-transferase
COG0626,K01758,,,NA,E,Cystathionine beta-lyase/cystathionine gamma-synthase
COG0626,K01739,,,NA,E,Cystathionine beta-lyase/cystathionine gamma-synthase
COG0626,K01761,,,NA,E,Cystathionine beta-lyase/cystathionine gamma-synthase
COG0626,K10764,,,NA,E,Cystathionine beta-lyase/cystathionine gamma-synthase
COG0626,K01760,,,NA,E,Cystathionine beta-lyase/cystathionine gamma-synthase
COG0626,K17217,,,NA,E,Cystathionine beta-lyase/cystathionine gamma-synthase
COG0626,K21173,,,NA,E,Cystathionine beta-lyase/cystathionine gamma-synthase
COG0627,K18851,,,NA,V,S-formylglutathione hydrolase FrmB
COG0627,K03930,,,NA,V,S-formylglutathione hydrolase FrmB
COG0627,K01070,,,NA,V,S-formylglutathione hydrolase FrmB
COG0628,K20469,,,NA,R,Predicted PurR-regulated permease PerM
COG0628,K11744,,,NA,R,Predicted PurR-regulated permease PerM
COG0628,K03548,,,NA,R,Predicted PurR-regulated permease PerM
COG0629,K03111,,,NA,L,Single-stranded DNA-binding protein
COG0630,K07332,,,NA,U,Type IV secretory pathway ATPase VirB11/Archaellum biosynthesis ATPase
COG0630,K03196,,,NA,U,Type IV secretory pathway ATPase VirB11/Archaellum biosynthesis ATPase
COG0630,K02283,,,NA,U,Type IV secretory pathway ATPase VirB11/Archaellum biosynthesis ATPase
COG0630,K12083,,,NA,U,Type IV secretory pathway ATPase VirB11/Archaellum biosynthesis ATPase
COG0631,K17508,,,NA,T,Serine/threonine protein phosphatase PrpC
COG0631,K19704,,,NA,T,Serine/threonine protein phosphatase PrpC
COG0631,K19708,,,NA,T,Serine/threonine protein phosphatase PrpC
COG0631,K11915,,,NA,T,Serine/threonine protein phosphatase PrpC
COG0631,K14803,,,NA,T,Serine/threonine protein phosphatase PrpC
COG0631,K20074,,,NA,T,Serine/threonine protein phosphatase PrpC
COG0631,K19705,,,NA,T,Serine/threonine protein phosphatase PrpC
COG0632,K03550,,,NA,L,Holliday junction resolvasome RuvABC DNA-binding subunit
COG0633,K02639,,,NA,C,Ferredoxin
COG0633,K18319,,,NA,C,Ferredoxin
COG0633,K04755,,,NA,C,Ferredoxin
COG0633,K11107,,,NA,C,Ferredoxin
COG0634,K00760,,,NA,F,Hypoxanthine-guanine phosphoribosyltransferase
COG0635,K21168,,,NA,H,Coproporphyrinogen III oxidase or related Fe-S oxidoreductase
COG0635,K02495,,,NA,H,Coproporphyrinogen III oxidase or related Fe-S oxidoreductase
COG0635,K21936,,,NA,H,Coproporphyrinogen III oxidase or related Fe-S oxidoreductase
COG0636,K02128,,,NA,C,FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K
COG0636,K02124,,,NA,C,FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K
COG0636,K02110,,,NA,C,FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K
COG0636,K03661,,,NA,C,FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K
COG0636,K02155,,,NA,C,FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K
COG0637,K20437,,,NA,GR,Beta-phosphoglucomutase or related phosphatase, HAD superfamily
COG0637,K19270,,,NA,GR,Beta-phosphoglucomutase or related phosphatase, HAD superfamily
COG0637,K06116,,,NA,GR,Beta-phosphoglucomutase or related phosphatase, HAD superfamily
COG0637,K01111,,,NA,GR,Beta-phosphoglucomutase or related phosphatase, HAD superfamily
COG0637,K20439,,,NA,GR,Beta-phosphoglucomutase or related phosphatase, HAD superfamily
COG0637,K01838,,,NA,GR,Beta-phosphoglucomutase or related phosphatase, HAD superfamily
COG0638,K02736,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K02727,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K02726,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K01419,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K02734,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K02729,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K02731,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K02737,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K02725,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K02730,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K02735,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K02739,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K02732,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K02738,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K03433,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K02728,,,NA,O,20S proteasome, alpha and beta subunits
COG0638,K03432,,,NA,O,20S proteasome, alpha and beta subunits
COG0639,K15423,,,NA,T,Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family
COG0639,K06269,,,NA,T,Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family
COG0639,K15427,,,NA,T,Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family
COG0639,K07313,,,NA,T,Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family
COG0639,K07314,,,NA,T,Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family
COG0639,K04382,,,NA,T,Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family
COG0639,K04348,,,NA,T,Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family
COG0639,K04460,,,NA,T,Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family
COG0639,K01525,,,NA,T,Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family
COG0640,K22042,,,NA,K,DNA-binding transcriptional regulator, ArsR family
COG0640,K03892,,,NA,K,DNA-binding transcriptional regulator, ArsR family
COG0640,K22043,,,NA,K,DNA-binding transcriptional regulator, ArsR family
COG0640,K21886,,,NA,K,DNA-binding transcriptional regulator, ArsR family
COG0640,K22298,,,NA,K,DNA-binding transcriptional regulator, ArsR family
COG0640,K21903,,,NA,K,DNA-binding transcriptional regulator, ArsR family
COG0640,K21885,,,NA,K,DNA-binding transcriptional regulator, ArsR family
COG0641,K06871,,,NA,O,Sulfatase maturation enzyme AslB, radical SAM superfamily
COG0642,K10681,,,NA,T,Signal transduction histidine kinase
COG0642,K07649,,,NA,T,Signal transduction histidine kinase
COG0642,K11629,,,NA,T,Signal transduction histidine kinase
COG0642,K07645,,,NA,T,Signal transduction histidine kinase
COG0642,K07697,,,NA,T,Signal transduction histidine kinase
COG0642,K07639,,,NA,T,Signal transduction histidine kinase
COG0642,K07711,,,NA,T,Signal transduction histidine kinase
COG0642,K07643,,,NA,T,Signal transduction histidine kinase
COG0642,K07636,,,NA,T,Signal transduction histidine kinase
COG0642,K14982,,,NA,T,Signal transduction histidine kinase
COG0642,K07648,,,NA,T,Signal transduction histidine kinase
COG0642,K14980,,,NA,T,Signal transduction histidine kinase
COG0642,K07644,,,NA,T,Signal transduction histidine kinase
COG0642,K18351,,,NA,T,Signal transduction histidine kinase
COG0642,K07642,,,NA,T,Signal transduction histidine kinase
COG0642,K07650,,,NA,T,Signal transduction histidine kinase
COG0642,K07654,,,NA,T,Signal transduction histidine kinase
COG0642,K07653,,,NA,T,Signal transduction histidine kinase
COG0642,K07641,,,NA,T,Signal transduction histidine kinase
COG0642,K07656,,,NA,T,Signal transduction histidine kinase
COG0642,K19077,,,NA,T,Signal transduction histidine kinase
COG0642,K07651,,,NA,T,Signal transduction histidine kinase
COG0642,K02486,,,NA,T,Signal transduction histidine kinase
COG0642,K07709,,,NA,T,Signal transduction histidine kinase
COG0642,K15011,,,NA,T,Signal transduction histidine kinase
COG0642,K07655,,,NA,T,Signal transduction histidine kinase
COG0642,K07716,,,NA,T,Signal transduction histidine kinase
COG0642,K13040,,,NA,T,Signal transduction histidine kinase
COG0642,K02480,,,NA,T,Signal transduction histidine kinase
COG0642,K02668,,,NA,T,Signal transduction histidine kinase
COG0642,K18350,,,NA,T,Signal transduction histidine kinase
COG0642,K02489,,,NA,T,Signal transduction histidine kinase
COG0642,K10942,,,NA,T,Signal transduction histidine kinase
COG0642,K11633,,,NA,T,Signal transduction histidine kinase
COG0642,K07638,,,NA,T,Signal transduction histidine kinase
COG0642,K18072,,,NA,T,Signal transduction histidine kinase
COG0642,K02491,,,NA,T,Signal transduction histidine kinase
COG0642,K07640,,,NA,T,Signal transduction histidine kinase
COG0642,K07717,,,NA,T,Signal transduction histidine kinase
COG0642,K11328,,,NA,T,Signal transduction histidine kinase
COG0642,K18143,,,NA,T,Signal transduction histidine kinase
COG0642,K18986,,,NA,T,Signal transduction histidine kinase
COG0642,K07698,,,NA,T,Signal transduction histidine kinase
COG0642,K07769,,,NA,T,Signal transduction histidine kinase
